@relation listblock
@attribute index numeric
@attribute index2 numeric
@attribute index3 {red, green}
@attribute is_displaynone {true, false}
@attribute top numeric
@attribute left numeric
@attribute height numeric
@attribute width numeric
@attribute area numeric
@attribute text_len numeric
@attribute own_text_len numeric
@attribute anchor_len numeric
@attribute anchor_num numeric
@attribute anchor2text numeric
@attribute img_num numeric
@attribute child_num numeric
@attribute fake_child_num numeric
@attribute input_area numeric
@attribute area_list numeric
@attribute area_other numeric
@attribute list_num1 numeric
@attribute strict_list_num1 numeric
@attribute indiffent_child_num1 numeric
@attribute list_num2 numeric
@attribute strict_list_num2 numeric
@attribute indiffent_child_num2 numeric
@attribute list_num3 numeric
@attribute indiffent_child_num3 numeric
@attribute big_list_num numeric
@attribute biggest_child_area numeric
@attribute biggest_img_area numeric
@attribute biggest_img_width numeric
@attribute most_img_num numeric
@attribute child_arrange_style numeric
@attribute first_second_child_ratio numeric
@attribute tobottom numeric
@attribute longest_own_text_len numeric
@attribute child_height2width numeric
@attribute tall_child_num numeric
@attribute friend_link_ratio numeric
@attribute full_list_ratio numeric
@attribute full_list_len numeric
@attribute pure_text_len numeric
@attribute has_intro {true, false}
@attribute has_sub_title {true, false}
@attribute is_sub_title {true, false}
@attribute has_merged {true, false}
@attribute is_bold {true, false}
@attribute is_time {true, false}
@attribute list_of_subtitle {true, false}
@attribute list_of_keyword {true, false}
@attribute has_repeat_sb_structure {true, false}
@attribute has_other_block {true, false}
@attribute child_is_small {true, false}
@attribute has_one_child {true, false}
@attribute is_list {0, 1}
@data
1,0,red,false,1.569000996587363,1.5662509035538374,1.554131203080956,1.5697963271282298,1.5707796601282316,1.5587487169407106,0.0,1.5554129250143014,1.4056476493802699,1.3006431270834915,0.7853981633974483,1.1071487177940904,1.4056476493802699,0.0,1.5707762464736141,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,1.5706629934623535,0.0,0.0,0.0,1.2490457723982544,0.7853981633974483,1.559302580079866,0.0,0.11942892601833845,0.0,0.0,0.0,1.5587487169407106,1.5152978215491797,false,false,false,false,false,false,false,false,false,false,false,true,1
2,0,green,false,1.5677660330400338,1.5662509035538374,1.5430256902014756,1.5697963271282298,1.570768549017126,1.5395564933646284,0.0,1.5337762109209665,1.4056476493802699,1.3876855095324125,0.0,1.1071487177940904,1.1071487177940904,0.0,1.5707373506213391,1.5703689763935615,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5707373506213391,0.0,0.0,0.0,0.7853981633974483,1.4336583082431487,1.5678377555455365,0.0,0.3052878521529642,0.0,0.0,0.0,1.5395564933646284,1.373400766945016,false,false,false,true,false,false,true,false,false,true,false,false,1
3,1,red,false,0.0,1.5698591199465233,1.5605925993009424,1.5631041708192477,1.570717833859422,1.446441332248135,0.0,1.446441332248135,1.1071487177940904,1.5707963267948966,0.0,1.1071487177940904,1.1071487177940904,0.0,1.57033336386501,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.0,1.569407438799068,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,1.5703120653315406,0.0,0.0,0.0,0.0,0.0,1.446441332248135,0.0,false,false,false,false,false,false,false,false,false,false,false,true,1
4,1,green,false,1.5700007820144382,1.5663910689480858,1.559807758112163,1.5655332174973013,1.570738489895019,1.512040504079174,0.0,1.512040504079174,1.1071487177940904,1.5707963267948966,0.0,0.7853981633974483,1.1071487177940904,0.0,1.570737225140119,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.0,1.5706262587693254,0.0,0.0,0.0,1.1071487177940904,0.7853981633974483,1.5695693335456176,0.0,0.2053953891897674,0.0,0.0,0.0,1.512040504079174,0.0,false,false,false,false,false,false,false,false,false,false,false,true,1
5,2,red,false,1.5690201297285122,1.5678377555455365,1.566629684240633,1.568763809268561,1.5707878579602084,1.5682387876141715,0.0,1.5682387876141715,1.5374753309166493,1.5707963267948966,0.0,0.7853981633974483,1.5374753309166493,0.0,1.5707878579602084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,1.5705920784317238,0.0,0.0,0.0,1.2490457723982544,0.820916215061188,1.5685790355283646,0.0,0.13230872759118625,0.0,0.0,0.7853939289980344,0.0,0.0,false,false,false,false,false,false,false,false,true,false,true,true,1
6,2,green,false,1.5699290243237238,1.5677099168421522,1.5374753309166493,1.5695060049303506,1.570753316042235,1.5495229407708355,0.0,1.5469913006098266,1.4711276743037347,1.452306367636759,0.0,0.7853981633974483,1.4711276743037347,0.0,1.570753316042235,0.0,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.0,0.7853981633974483,1.5700522793131522,0.0,0.0,0.0,0.7853981633974483,0.9272952180016122,1.5567127509720364,1.373400766945016,0.23974310887045655,0.0,0.767783949225122,0.0,1.5495229407708355,1.373400766945016,false,false,false,false,false,false,false,false,false,false,true,true,1
7,3,red,false,1.446441332248135,1.446441332248135,1.5645852265420304,1.5700860996415875,1.5707919154453767,1.5374753309166493,0.0,1.5350972141155728,1.446441332248135,1.4994888620096063,0.7853981633974483,1.1071487177940904,1.1071487177940904,0.0,1.5707919154453767,0.0,0.0,0.0,0.7853981633974483,0.7853981633974483,0.0,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.0,1.5707904571480147,1.5707692177079373,1.567651683072455,0.7853981633974483,1.1071487177940904,1.251527156883555,1.570439438872861,0.0,0.05711112159842374,0.0,0.0,0.0,1.5374753309166493,1.1071487177940904,false,false,false,true,false,false,false,false,false,false,true,true,0
8,4,red,false,1.570557606341088,1.568398249857067,1.5704826505191116,1.569530504686165,1.5707959297363066,1.5695738335163676,0.0,1.5695191882810962,1.5651784083699412,1.5261261901542726,1.5499660067586796,0.7853981633974483,1.2490457723982544,0.0,1.5707959284869089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7853981633974483,0.0,0.0,1.5707959189911644,1.5707756656378749,1.5662509035538374,1.5499660067586796,1.1071487177940904,1.5585546702943318,1.5689814467548424,0.0,0.9300194570498073,0.7853981633974483,0.0,0.0,1.5695738335163676,1.5422326689561365,false,true,false,false,false,false,false,true,false,false,false,true,1
9,4,green,false,1.570557606341088,1.566188064484776,1.569799318152167,1.5655332174973013,1.5707910793792488,1.564844016140305,0.0,1.564844016140305,1.545160918273219,1.5707963267948966,0.0,0.7853981633974483,1.4288992721907328,0.0,1.5707910265351839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.570776771100281,0.0,0.0,0.0,1.1071487177940904,0.9964914966201949,1.5704308297351486,0.0,0.6459282884929579,1.373400766945016,0.0,0.7745914861576099,0.0,0.0,false,true,false,false,false,false,false,false,false,false,false,true,1
10,5,red,false,1.569681500054963,1.5660116743115382,1.5697302291177695,1.569415112203623,1.5707948542837349,1.56949931066098,0.0,1.5693898579614014,1.5544043524868913,1.4866076092560456,0.0,1.2490457723982544,0.0,0.0,0.0,1.570757853418492,0.0,0.0,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.7853981633974483,0.0,1.5702480812357908,0.0,0.0,0.0,0.0,0.7853981633974483,1.5697187410050946,1.4056476493802699,0.0,0.0,0.0,0.0,1.56949931066098,1.554131203080956,false,true,false,false,false,false,true,true,false,false,true,true,1
